id, gene, type, version, ALB, ARE, ARG, AUS, AUT, BEL, BEN, BFA, BGD, BGR, BIH, BOL, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GMB, GRC, GRL, GTM, HKG, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
sul2_2_AY034138.R, sul2_2_AY034138, R, R, ALB, ARE, ARG, AUS, AUT, BEL, BEN, BFA, BGD, BGR, BIH, BOL, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GMB, GRC, GRL, GTM, HKG, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
sul2_3_HQ840942.R, sul2_3_HQ840942, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, BWA, *, *, *, *, *, CMR, COD, *, *, *, *, *, *, *, *, *, *, *, *, GHA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MOZ, *, MWI, MYS, *, *, *, *, NPL, *, PAK, *, *, *, *, *, *, *, *, *, *, *, *, *, TCD, TGO, *, *, *, TZA, *, *, *, *, *, ZMB
sul2_18_AJ830714.R, sul2_18_AJ830714, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, BWA, *, *, *, *, *, CMR, COD, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, NPL, *, PAK, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *, *, *, *, ZMB
sul2_6_FN995456.R, sul2_6_FN995456, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CIV, CMR, *, *, *, *, DNK, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MOZ, *, MWI, *, *, *, *, *, *, *, PAK, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
sul2_11_AY232670.R, sul2_11_AY232670, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KEN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TCD, *, *, *, *, TZA, *, *, *, *, *, *
sul2_10_AM183225.R, sul2_10_AM183225, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, COD, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TCD, *, *, *, *, TZA, *, *, *, *, *, *
sul2_9_FJ197818.R, sul2_9_FJ197818, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CMR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, NGA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
sul2_13_AJ289135.v1, sul2_13_AJ289135, v, 1, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, PAK, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
sul2_12_AF497970.R, sul2_12_AF497970, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MYS, *, *, *, *, *, *, PAK, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
sul2_17_U57647.R, sul2_17_U57647, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, PAK, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
