id, gene, type, version, ALB, ARE, ARG, AUS, AUT, BEL, BEN, BFA, BGD, BGR, BIH, BOL, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, GRL, GTM, HKG, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
aph_3_Ib_5_AF321551.R, aph_3_Ib_5_AF321551, R, R, ALB, ARE, ARG, AUS, AUT, BEL, BEN, BFA, BGD, BGR, BIH, BOL, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, GRL, GTM, HKG, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
aph_3_Ib_4_AF313472.R, aph_3_Ib_4_AF313472, R, R, *, ARE, *, AUS, AUT, BEL, *, *, *, BGR, BIH, *, BRA, BRB, BWA, CAN, *, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, *, ECU, ESP, *, ETH, *, FRA, GBR, GEO, GHA, GRC, *, *, *, *, HUN, IND, *, IRN, ISL, ISR, ITA, *, *, KEN, *, *, KWT, LCA, *, *, LUX, LVA, MAR, *, *, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, *, *, *, NPL, NZL, PAK, PER, PHL, *, PRT, *, *, SAU, SEN, SGP, SRB, *, SVN, *, *, *, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
aph_3_Ib_2_AF024602.R, aph_3_Ib_2_AF024602, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, BWA, *, *, *, *, *, *, *, *, *, *, *, ECU, *, *, *, *, *, *, *, GHA, GRC, *, *, *, *, *, *, *, *, *, ISR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MYS, *, NIC, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TCD, TGO, *, *, *, TZA, *, *, *, *, *, *
aph_3_Ib_5_AF321551.v1, aph_3_Ib_5_AF321551, v, 1, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, NGA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
