id, gene, type, version, ALB, ARG, AUS, BEL, BEN, BFA, BGR, BIH, BRA, BRB, BWA, CAN, CHL, CHN, CIV, CMR, COD, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, HKG, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LUX, LVA, MAR, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NPL, NZL, PAK, POL, PRT, SEN, SRB, SVK, SVN, SWE, TCD, TGO, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
ant_3_Ia_1_X02340.R, ant_3_Ia_1_X02340, R, R, ALB, *, AUS, BEL, BEN, BFA, BGR, BIH, BRA, BRB, BWA, CAN, CHL, CHN, CIV, CMR, *, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, *, HUN, IND, IRL, IRN, *, ISR, ITA, JPN, *, *, KHM, KOR, *, LUX, LVA, MAR, MKD, MLT, MNE, MOZ, *, MWI, MYS, NGA, *, NZL, PAK, POL, PRT, SEN, SRB, SVK, SVN, SWE, TCD, TGO, TUR, TWN, TZA, *, URY, USA, VNM, ZAF, ZMB
aadA1_4_JQ480156.R, aadA1_4_JQ480156, R, R, *, ARG, *, *, *, *, *, *, BRA, BRB, *, *, *, *, *, *, COD, *, *, *, ECU, *, *, ETH, *, *, *, GHA, *, *, *, *, *, IRN, ISL, *, *, *, *, KEN, *, *, *, *, *, *, MKD, *, *, *, *, *, *, NGA, NPL, *, PAK, *, PRT, *, *, *, *, *, *, TGO, TUR, *, *, *, URY, *, *, ZAF, ZMB
aadA1_3_JQ414041.R, aadA1_3_JQ414041, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, CHN, CIV, CMR, COD, *, *, *, *, *, *, *, *, *, *, GHA, GRC, HKG, *, IND, *, *, *, *, ITA, *, KAZ, *, KHM, *, KWT, *, *, *, *, *, MNE, *, MUS, MWI, MYS, NGA, *, *, *, *, *, *, *, *, *, *, *, TGO, *, *, TZA, *, *, *, VNM, ZAF, ZMB
aadA1b_1_M95287.R, aadA1b_1_M95287, R, R, *, *, *, *, *, *, *, *, *, *, *, CAN, *, *, *, CMR, COD, *, *, *, ECU, *, *, ETH, FIN, *, *, GHA, GRC, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *, USA, *, *, *
aadA1_5_JX185132.R, aadA1_5_JX185132, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CZE, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MWI, *, *, *, *, *, *, *, *, *, *, *, *, TCD, *, *, *, TZA, UGA, *, *, *, *, *
aadA22_1_AM261837.R, aadA22_1_AM261837, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, EST, *, *, *, *, *, *, *, *, *, *, IRN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, URY, *, *, *, *
ant_3_Ia_1_X02340.v1, ant_3_Ia_1_X02340, v, 1, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, SRB, *, *, *, *, *, *, *, TZA, *, *, *, *, *, *
aadA24_1_DQ677333.R, aadA24_1_DQ677333, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, CHN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
