ere_A_1_AY183453.v1	43	DTU_2016_56_3_MG_CIV-13_2,DTU_2017_306_1_MG_PT_LI,DTU_2017_308_1_MG_GR_AT,DTU_2017_317_1_MG_CM_YA,DTU_2017_397_1_MG_TW_TA,DTU_2017_401_1_MG_PE_PI,DTU_2017_436_1_MG_GR_TH,DTU_2017_438_1_MG_PT_PO,DTU_2017_489_1_MG_IT_NO_185,DTU_2017_494_1_MG_PT_LI_190,DTU_2017_497_1_MG_GR_AT_193,DTU_2017_514_1_MG_TZ_MW_210,DTU_2017_529_1_MG_GR_TH_225,DTU_2017_543_1_MG_TW_TA_239,DTU_2017_552_1_MG_PY_SL_248,DTU_2017_595_1_MG_CM_YA_291,DTU_2017_963_1_MG_GR1707_L5,DTU_2017_964_1_MG_GR1709_L6,DTU_2017_969_1_MG_CN1707_L12,DTU_2017_971_1_MG_CN1709_L14,DTU_2017_972_1_MG_CN1710_L15,DTU_2017_978_1_MG_CM1712_L23,DTU_2017_981_1_MG_CM1708_L26,DTU_2017_982_1_MG_CM1709_L27,DTU_2018_1039_1_MG_CM1804_L96,DTU_2018_669_1_MG_PT_LI_357,DTU_2018_696_1_MG_GR_TH_385,DTU_2018_697_1_MG_PT_PO_386,DTU_2018_702_1_MG_TW_TA_390,DTU_2018_705_1_MG_CN_YA_393,DTU_2018_735_1_MG_CI_YA_2_432,DTU_2018_755_1_MG_MK_SK_452,DTU_2018_826_1_MG_PT_LI_510,DTU_2018_840_1_MG_TZ_MW_524,DTU_2018_861_1_MG_TW_TA_545,DTU_2018_887_1_MG_GR_TH_574,DTU_2018_894_1_MG_ES_SA_581,DTU_2018_936_1_MG_CO_BU_2_618,DTU_2018_937_1_MG_CO_BU_3_619,DTU_2018_938_1_MG_CO_BU_4_620,DTU_2018_941_1_MG_CO_BU_7_623,DTU_2018_979_1_MG_CM1801_L24,DTU_2019_1041_1_MG_CM1802_L98
ere_A_6_DQ157752.v1	36	DTU_2016_115_1_MG_KHM-21,DTU_2016_53_1_MG_CHN-64,DTU_2017_365_1_MG_TZ_MO,DTU_2017_401_1_MG_PE_PI,DTU_2017_450_1_MG_PK_KA,DTU_2017_451_1_MG_PK_HY,DTU_2017_487_1_MG_CN_GU_183,DTU_2017_515_1_MG_TZ_MO_211,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_583_1_MG_MW_MA_279,DTU_2017_961_1_MG_PK1708_L3,DTU_2017_969_1_MG_CN1707_L12,DTU_2017_970_1_MG_CN1708_L13,DTU_2017_971_1_MG_CN1709_L14,DTU_2017_972_1_MG_CN1710_L15,DTU_2017_973_1_MG_PK1709_L18,DTU_2017_974_1_MG_PK1710_L19,DTU_2018_1004_1_MG_CN1803_L49,DTU_2018_1038_1_MG_CN1810_L89,DTU_2018_1065_1_MG_TZ_MO_3,DTU_2018_1068_1_MG_TZ_MO_6,DTU_2018_1071_1_MG_TZ_MO_9,DTU_2018_1072_1_MG_TZ_MO_10,DTU_2018_681_1_MG_TZ_MO_369,DTU_2018_682_1_MG_TZ_MW_370,DTU_2018_705_1_MG_CN_YA_393,DTU_2018_723_1_MG_UG_KA_420,DTU_2018_750_1_MG_KE_NA_447,DTU_2018_781_1_MG_VN_HO_478,DTU_2018_827_1_MG_SA_KA_511,DTU_2018_854_1_MG_KH_PP_538,DTU_2018_856_1_MG_UG_KA_540,DTU_2018_864_1_MG_CN_NA_548,DTU_2018_868_1_MG_CH_SU_552,DTU_2018_937_1_MG_CO_BU_3_619,DTU_2018_944_1_MG_PK_HY_a_626
ere_A_6_DQ157752.v2	16	DTU_2016_246_1_MG_Reproduce_53a_1,DTU_2016_247_2_MG_Reproduce_53a_3,DTU_2016_25_1_MG_BRA-53a,DTU_2016_26_2_MG_BRA-53a_1,DTU_2016_27_3_MG_BRA-53a_2,DTU_2017_406_1_MG_MW_MZ,DTU_2017_408_1_MG_MW_BL,DTU_2017_412_2_MG_NG_IL_b,DTU_2017_429_1_MG_TH_PA,DTU_2017_495_1_MG_KH_PP_191,DTU_2017_524_1_MG_CI_YA_220,DTU_2017_560_1_MG_NG_LA_256,DTU_2017_584_1_MG_MW_MC_280,DTU_2017_586_1_MG_MW_LI_282,DTU_2018_774_1_MG_TH_PA_471,DTU_2018_890_1_MG_NG_IL_2_577
ere_A_1_AY183453.R	6	DTU_2017_365_1_MG_TZ_MO,DTU_2017_515_1_MG_TZ_MO_211,DTU_2017_573_1_MG_IR_SH_269,DTU_2018_676_1_MG_TR_HA_364,DTU_2018_744_1_MG_IL_BE_441,DTU_2018_868_1_MG_CH_SU_552
ere_A_6_DQ157752.R	0	*
