ant_2_Ia_1_X04555.R	270	DTU_2016_100_1_MG_IRN-12,DTU_2016_101_2_MG_IRN-12_1,DTU_2016_102_3_MG_IRN-12_2,DTU_2016_110_1_MG_KAZ-6,DTU_2016_111_1_MG_KEN-72,DTU_2016_112_2_MG_KEN-72_1,DTU_2016_115_1_MG_KHM-21,DTU_2016_122_1_MG_MDA-65,DTU_2016_123_2_MG_MDA-65_1,DTU_2016_125_1_MG_MKD-62,DTU_2016_126_2_MG_MKD-62_1,DTU_2016_137_1_MG_NGA-50,DTU_2016_138_2_MG_NGA-50_1,DTU_2016_139_3_MG_NGA-50_2,DTU_2016_150_1_MG_PAK-7,DTU_2016_151_1_MG_PER-35,DTU_2016_180_1_MG_TZA-15,DTU_2016_18_1_MG_BGR-66,DTU_2016_1_1_MG_ALB-17,DTU_2016_220_1_MG_USA-74i,DTU_2016_221_1_MG_VNM-48,DTU_2016_222_1_MG_XK-60,DTU_2016_226_1_MG_ZMB-49,DTU_2016_228_3_MG_ZMB-49_2,DTU_2016_22_1_MG_BRA-53,DTU_2016_230_2_MG_ZMB-49b_1,DTU_2016_232_4_MG_ZMB-49b_3,DTU_2016_235_7_MG_ZMB-49b_6,DTU_2016_236_1_MG_Reproduce_12_1,DTU_2016_237_2_MG_Reproduce_12_3,DTU_2016_238_1_MG_Reproduce_15_1,DTU_2016_239_2_MG_Reproduce_15_3,DTU_2016_28_1_MG_BWA-19,DTU_2016_31_4_MG_BWA-19_3,DTU_2016_53_1_MG_CHN-64,DTU_2016_54_1_MG_CIV-13,DTU_2016_56_3_MG_CIV-13_2,DTU_2016_73_2_MG_ESP-75_1,DTU_2016_74_3_MG_ESP-75_2,DTU_2016_75_4_MG_ESP-75_3,DTU_2016_78_1_MG_ETH-24,DTU_2016_94_1_MG_IND-11,DTU_2016_96_3_MG_IND-11_2,DTU_2017_307_1_MG_ES_BA,DTU_2017_311_1_MG_TD_ND,DTU_2017_312_1_MG_CI_AB,DTU_2017_314_1_MG_CI_YA,DTU_2017_315_1_MG_MY_KL,DTU_2017_316_1_MG_MY_KG,DTU_2017_317_1_MG_CM_YA,DTU_2017_319_1_MG_VN_HO,DTU_2017_340_1_MG_AL_TI,DTU_2017_349_1_MG_SE_UP,DTU_2017_355_1_MG_SN_DA,DTU_2017_356_1_MG_ME_PO,DTU_2017_357_1_MG_ET_AD,DTU_2017_362_1_MG_CZ_PR,DTU_2017_363_1_MG_CZ_BR,DTU_2017_364_1_MG_TZ_MW,DTU_2017_365_1_MG_TZ_MO,DTU_2017_366_1_MG_PY_SL,DTU_2017_372_1_MG_US_HO_a,DTU_2017_375_1_MG_SK_BR,DTU_2017_378_1_MG_LV_LI,DTU_2017_379_1_MG_DE_BE,DTU_2017_381_1_MG_IL_BE,DTU_2017_382_1_MG_BA_BL,DTU_2017_384_1_MG_AU_DD,DTU_2017_386_1_MG_MT_MN,DTU_2017_389_1_MG_SA_KA,DTU_2017_392_1_MG_IN_CO,DTU_2017_393_1_MG_TG_LO,DTU_2017_394_1_MG_NG_LA,DTU_2017_397_1_MG_TW_TA,DTU_2017_401_1_MG_PE_PI,DTU_2017_406_1_MG_MW_MZ,DTU_2017_407_1_MG_MW_ZO,DTU_2017_408_1_MG_MW_BL,DTU_2017_412_2_MG_NG_IL_b,DTU_2017_418_1_MG_NG_IB_a,DTU_2017_419_2_MG_NG_IB_b,DTU_2017_421_1_MG_NI_MT,DTU_2017_424_1_MG_TZ_MS,DTU_2017_429_1_MG_TH_PA,DTU_2017_430_1_MG_GE_KU,DTU_2017_431_1_MG_HR_ZA,DTU_2017_444_1_MG_BG_SO,DTU_2017_447_1_MG_UG_KA,DTU_2017_450_1_MG_PK_KA,DTU_2017_451_1_MG_PK_HY,DTU_2017_452_1_MG_BF_OU,DTU_2017_457_1_MG_KH_PP,DTU_2017_458_1_MG_GT_GU,DTU_2017_459_1_MG_LT_VI,DTU_2017_460_1_MG_KE_NA,DTU_2017_461_1_MG_KZ_AL,DTU_2017_463_1_MG_MK_SK,DTU_2017_464_1_MG_GH_TA,DTU_2017_466_1_MG_MA_CA,DTU_2017_469_1_MG_LK_BO,DTU_2017_470_1_MG_LK_CO,DTU_2017_472_1_MG_IR_SH,DTU_2017_495_1_MG_KH_PP_191,DTU_2017_497_1_MG_GR_AT_193,DTU_2017_508_1_MG_ME_PO_204,DTU_2017_513_1_MG_BA_BL_209,DTU_2017_514_1_MG_TZ_MW_210,DTU_2017_515_1_MG_TZ_MO_211,DTU_2017_521_1_MG_KR_DA_217,DTU_2017_522_1_MG_CI_AB_218,DTU_2017_524_1_MG_CI_YA_220,DTU_2017_525_1_MG_SA_KA_221,DTU_2017_527_1_MG_ES_BA_223,DTU_2017_528_1_MG_SK_BR_224,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_537_1_MG_AL_TI_233,DTU_2017_543_1_MG_TW_TA_239,DTU_2017_544_1_MG_IN_CO_240,DTU_2017_548_1_MG_IN_MP_244,DTU_2017_549_1_MG_TH_PA_245,DTU_2017_552_1_MG_PY_SL_248,DTU_2017_560_1_MG_NG_LA_256,DTU_2017_571_1_MG_EE_NA_267,DTU_2017_573_1_MG_IR_SH_269,DTU_2017_576_1_MG_KR_GW_272,DTU_2017_577_1_MG_BF_OU_273,DTU_2017_580_1_MG_BW_GA_276,DTU_2017_583_1_MG_MW_MA_279,DTU_2017_584_1_MG_MW_MC_280,DTU_2017_585_1_MG_TG_LO_281,DTU_2017_590_1_MG_KW_KW_286,DTU_2017_595_1_MG_CM_YA_291,DTU_2017_601_1_MG_IL_BE_297,DTU_2017_606_1_MG_GH_KU_302,DTU_2017_612_1_MG_AE_AD_308,DTU_2017_614_1_MG_US_HO_310,DTU_2017_618_1_MG_MY_PG_314,DTU_2017_620_1_MG_TZ_MS_316,DTU_2017_621_1_MG_PH_QU_317,DTU_2017_625_1_MG_ET_AD_321,DTU_2017_627_1_MG_EC_QU_323,DTU_2017_635_1_MG_VN_HO_331,DTU_2017_636_1_MG_RS_BE_332,DTU_2017_637_1_MG_NL_UT_333,DTU_2017_961_1_MG_PK1708_L3,DTU_2017_963_1_MG_GR1707_L5,DTU_2017_964_1_MG_GR1709_L6,DTU_2017_969_1_MG_CN1707_L12,DTU_2017_970_1_MG_CN1708_L13,DTU_2017_971_1_MG_CN1709_L14,DTU_2017_972_1_MG_CN1710_L15,DTU_2017_973_1_MG_PK1709_L18,DTU_2017_977_1_MG_CM1710_L22,DTU_2017_978_1_MG_CM1712_L23,DTU_2017_980_1_MG_CM1707_L25,DTU_2017_981_1_MG_CM1708_L26,DTU_2017_982_1_MG_CM1709_L27,DTU_2018_1010_1_MG_AU1804_L59,DTU_2018_1022_1_MG_CM1808_L73,DTU_2018_1029_1_MG_EC1803_L80,DTU_2018_1033_1_MG_EC1808_L84,DTU_2018_1039_1_MG_CM1804_L96,DTU_2018_1064_1_MG_TZ_MO_2,DTU_2018_1065_1_MG_TZ_MO_3,DTU_2018_1066_1_MG_TZ_MO_4,DTU_2018_1067_1_MG_TZ_MO_5,DTU_2018_1068_1_MG_TZ_MO_6,DTU_2018_1069_1_MG_TZ_MO_7,DTU_2018_1070_1_MG_TZ_MO_8,DTU_2018_1071_1_MG_TZ_MO_9,DTU_2018_1072_1_MG_TZ_MO_10,DTU_2018_651_1_MG_SE_UP_339,DTU_2018_652_1_MG_GR_AT_340,DTU_2018_653_1_MG_KH_PP_341,DTU_2018_665_1_MG_SA_KA_353,DTU_2018_667_1_MG_BA_BL_355,DTU_2018_670_1_MG_TG_LO_358,DTU_2018_680_1_MG_KR_DA_368,DTU_2018_681_1_MG_TZ_MO_369,DTU_2018_682_1_MG_TZ_MW_370,DTU_2018_692_1_MG_ME_PO_381,DTU_2018_693_1_MG_KR_GW_382,DTU_2018_696_1_MG_GR_TH_385,DTU_2018_699_1_MG_SK_BR_388,DTU_2018_701_1_MG_NL_UT_389,DTU_2018_702_1_MG_TW_TA_390,DTU_2018_705_1_MG_CN_YA_393,DTU_2018_706_1_MG_CH_BR_394,DTU_2018_709_1_MG_KW_KW_397,DTU_2018_710_1_MG_MA_CA_398,DTU_2018_717_1_MG_CI_AB_414,DTU_2018_718_1_MG_CI_YA_415,DTU_2018_720_1_MG_CA_OT_417,DTU_2018_723_1_MG_UG_KA_420,DTU_2018_724_1_MG_NG_LA_421,DTU_2018_725_1_MG_MY_PB_422,DTU_2018_727_1_MG_MY_SU_424,DTU_2018_729_1_MG_MY_IH_426,DTU_2018_732_1_MG_LV_RI_429,DTU_2018_733_1_MG_LV_LI_430,DTU_2018_735_1_MG_CI_YA_2_432,DTU_2018_741_1_MG_FI_OU_438,DTU_2018_744_1_MG_IL_BE_441,DTU_2018_750_1_MG_KE_NA_447,DTU_2018_753_1_MG_LC_CA_450,DTU_2018_755_1_MG_MK_SK_452,DTU_2018_758_1_MG_AU_DD_455,DTU_2018_764_1_MG_US_CH_461,DTU_2018_774_1_MG_TH_PA_471,DTU_2018_779_1_MG_US_WA_476,DTU_2018_780_1_MG_AE_DU_477,DTU_2018_781_1_MG_VN_HO_478,DTU_2018_782_1_MG_SN_DA_479,DTU_2018_785_1_MG_TZ_MS_482,DTU_2018_796_1_MG_GH_AC_2_566,DTU_2018_797_1_MG_GH_AC_3_567,DTU_2018_800_1_MG_ZA_PR_484,DTU_2018_803_1_MG_LV_RI_487,DTU_2018_804_1_MG_LV_LI_488,DTU_2018_805_1_MG_IL_BE_489,DTU_2018_818_1_MG_DE_DR_502,DTU_2018_820_1_MG_CZ_BR_504,DTU_2018_823_1_MG_MY_KG_507,DTU_2018_827_1_MG_SA_KA_511,DTU_2018_831_1_MG_JP_HI_AM_515,DTU_2018_838_1_MG_IN_UD_522,DTU_2018_839_1_MG_TZ_MO_523,DTU_2018_840_1_MG_TZ_MW_524,DTU_2018_844_1_MG_CI_BO_528,DTU_2018_851_1_MG_IN_KO_535,DTU_2018_854_1_MG_KH_PP_538,DTU_2018_856_1_MG_UG_KA_540,DTU_2018_858_1_MG_MU_SM_542,DTU_2018_859_1_MG_MU_GB_543,DTU_2018_861_1_MG_TW_TA_545,DTU_2018_864_1_MG_CN_NA_548,DTU_2018_865_1_MG_KR_GW_549,DTU_2018_866_1_MG_BW_GA_550,DTU_2018_868_1_MG_CH_SU_552,DTU_2018_869_1_MG_PK_FA_553,DTU_2018_873_1_MG_US_CH_557,DTU_2018_876_1_MG_AU_MA_560,DTU_2018_882_1_MG_GH_AC_2_569,DTU_2018_883_1_MG_GH_KA_570,DTU_2018_890_1_MG_NG_IL_2_577,DTU_2018_891_1_MG_SN_DA_578,DTU_2018_893_1_MG_SK_BR_580,DTU_2018_905_1_MG_CA_OT_590,DTU_2018_906_1_MG_MZ_MA_591,DTU_2018_907_1_MG_NP_KA_592,DTU_2018_908_1_MG_NG_LA_593,DTU_2018_910_1_MG_ME_PO_595,DTU_2018_912_1_MG_CM_YA_597,DTU_2018_913_1_MG_RS_BE_598,DTU_2018_914_1_MG_RS_BE_2_599,DTU_2018_926_1_MG_MY_PB_609,DTU_2018_928_1_MG_MY_SU_611,DTU_2018_929_1_MG_TG_LO_612,DTU_2018_930_1_MG_AE_DU_613,DTU_2018_934_1_MG_CO_BU_616,DTU_2018_936_1_MG_CO_BU_2_618,DTU_2018_937_1_MG_CO_BU_3_619,DTU_2018_938_1_MG_CO_BU_4_620,DTU_2018_939_1_MG_CO_BU_5_621,DTU_2018_941_1_MG_CO_BU_7_623,DTU_2018_942_1_MG_CO_BU_8_624,DTU_2018_943_1_MG_CO_BU_9_625,DTU_2018_979_1_MG_CM1801_L24,DTU_2019_1040_1_MG_CM1805_L97,DTU_2019_1041_1_MG_CM1802_L98
ant_2_Ia_6_AJ871915.R	69	DTU_2016_111_1_MG_KEN-72,DTU_2016_138_2_MG_NGA-50_1,DTU_2016_176_1_MG_TGO-44,DTU_2016_180_1_MG_TZA-15,DTU_2016_226_1_MG_ZMB-49,DTU_2016_238_1_MG_Reproduce_15_1,DTU_2016_239_2_MG_Reproduce_15_3,DTU_2016_54_1_MG_CIV-13,DTU_2016_55_2_MG_CIV-13_1,DTU_2016_56_3_MG_CIV-13_2,DTU_2017_311_1_MG_TD_ND,DTU_2017_364_1_MG_TZ_MW,DTU_2017_365_1_MG_TZ_MO,DTU_2017_393_1_MG_TG_LO,DTU_2017_408_1_MG_MW_BL,DTU_2017_418_1_MG_NG_IB_a,DTU_2017_419_2_MG_NG_IB_b,DTU_2017_447_1_MG_UG_KA,DTU_2017_453_1_MG_BF_BO,DTU_2017_464_1_MG_GH_TA,DTU_2017_522_1_MG_CI_AB_218,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_560_1_MG_NG_LA_256,DTU_2017_578_1_MG_BF_BO_274,DTU_2017_595_1_MG_CM_YA_291,DTU_2017_606_1_MG_GH_KU_302,DTU_2017_620_1_MG_TZ_MS_316,DTU_2017_977_1_MG_CM1710_L22,DTU_2017_978_1_MG_CM1712_L23,DTU_2017_980_1_MG_CM1707_L25,DTU_2017_981_1_MG_CM1708_L26,DTU_2018_1022_1_MG_CM1808_L73,DTU_2018_1042_1_MG_CM1803_L99,DTU_2018_1064_1_MG_TZ_MO_2,DTU_2018_1065_1_MG_TZ_MO_3,DTU_2018_1066_1_MG_TZ_MO_4,DTU_2018_1067_1_MG_TZ_MO_5,DTU_2018_1068_1_MG_TZ_MO_6,DTU_2018_1069_1_MG_TZ_MO_7,DTU_2018_1070_1_MG_TZ_MO_8,DTU_2018_1071_1_MG_TZ_MO_9,DTU_2018_1072_1_MG_TZ_MO_10,DTU_2018_670_1_MG_TG_LO_358,DTU_2018_681_1_MG_TZ_MO_369,DTU_2018_682_1_MG_TZ_MW_370,DTU_2018_717_1_MG_CI_AB_414,DTU_2018_723_1_MG_UG_KA_420,DTU_2018_724_1_MG_NG_LA_421,DTU_2018_735_1_MG_CI_YA_2_432,DTU_2018_744_1_MG_IL_BE_441,DTU_2018_761_1_MG_CM_YA_458,DTU_2018_785_1_MG_TZ_MS_482,DTU_2018_796_1_MG_GH_AC_2_566,DTU_2018_797_1_MG_GH_AC_3_567,DTU_2018_840_1_MG_TZ_MW_524,DTU_2018_844_1_MG_CI_BO_528,DTU_2018_856_1_MG_UG_KA_540,DTU_2018_883_1_MG_GH_KA_570,DTU_2018_890_1_MG_NG_IL_2_577,DTU_2018_908_1_MG_NG_LA_593,DTU_2018_929_1_MG_TG_LO_612,DTU_2018_936_1_MG_CO_BU_2_618,DTU_2018_938_1_MG_CO_BU_4_620,DTU_2018_941_1_MG_CO_BU_7_623,DTU_2018_942_1_MG_CO_BU_8_624,DTU_2018_943_1_MG_CO_BU_9_625,DTU_2018_979_1_MG_CM1801_L24,DTU_2019_1040_1_MG_CM1805_L97,DTU_2019_1041_1_MG_CM1802_L98
ant_2_Ia_20_AY139599.R	13	DTU_2017_321_1_MG_US_PO,DTU_2017_409_1_MG_IS_RE,DTU_2017_499_1_MG_CH_BR_195,DTU_2017_508_1_MG_ME_PO_204,DTU_2017_530_1_MG_HK_HK_226,DTU_2017_532_1_MG_IS_RE_228,DTU_2017_543_1_MG_TW_TA_239,DTU_2017_969_1_MG_CN1707_L12,DTU_2017_971_1_MG_CN1709_L14,DTU_2017_972_1_MG_CN1710_L15,DTU_2018_784_1_MG_NZ_DU_481,DTU_2018_821_1_MG_IS_RE_505,DTU_2018_867_1_MG_ZA_CT_551
ant_2_Ia_13_DQ176450.R	9	DTU_2016_139_3_MG_NGA-50_2,DTU_2017_384_1_MG_AU_DD,DTU_2017_981_1_MG_CM1708_L26,DTU_2017_982_1_MG_CM1709_L27,DTU_2018_1039_1_MG_CM1804_L96,DTU_2018_1070_1_MG_TZ_MO_8,DTU_2018_750_1_MG_KE_NA_447,DTU_2018_758_1_MG_AU_DD_455,DTU_2018_979_1_MG_CM1801_L24
ant_2_Ia_9_HM367610.R	8	DTU_2017_412_2_MG_NG_IL_b,DTU_2017_418_1_MG_NG_IB_a,DTU_2017_560_1_MG_NG_LA_256,DTU_2018_724_1_MG_NG_LA_421,DTU_2018_750_1_MG_KE_NA_447,DTU_2018_839_1_MG_TZ_MO_523,DTU_2018_908_1_MG_NG_LA_593,DTU_2018_912_1_MG_CM_YA_597
ant_2_Ia_6_AJ871915.v1	1	DTU_2017_406_1_MG_MW_MZ
ant_2_Ia_19_GQ466184.v1	1	DTU_2017_365_1_MG_TZ_MO
ant_2_Ia_13_DQ176450.v1	1	DTU_2017_406_1_MG_MW_MZ
ant_2_Ia_19_GQ466184.R	0	*
