tet_M_7_FN433596.R	77	DTU_2016_148_1_MG_NPL-33,DTU_2016_150_1_MG_PAK-7,DTU_2016_176_1_MG_TGO-44,DTU_2016_182_1_MG_USA-74a,DTU_2016_185_4_MG_USA-74a_3,DTU_2016_195_1_MG_USA-74d,DTU_2016_196_2_MG_USA-74d_1,DTU_2016_197_3_MG_USA-74d_2,DTU_2016_198_4_MG_USA-74d_3,DTU_2016_219_1_MG_USA-74h,DTU_2016_41_2_MG_CAN-22b_1,DTU_2016_44_5_MG_CAN-22b_4,DTU_2016_54_1_MG_CIV-13,DTU_2016_56_3_MG_CIV-13_2,DTU_2016_72_1_MG_ESP-75,DTU_2016_79_1_MG_FIN-25,DTU_2016_81_3_MG_FIN-25_2,DTU_2017_317_1_MG_CM_YA,DTU_2017_321_1_MG_US_PO,DTU_2017_380_1_MG_MU_PL,DTU_2017_387_1_MG_MT_GO,DTU_2017_392_1_MG_IN_CO,DTU_2017_398_1_MG_US_SE,DTU_2017_399_1_MG_US_WO,DTU_2017_406_1_MG_MW_MZ,DTU_2017_435_1_MG_KR_GW,DTU_2017_440_1_MG_CA_RE,DTU_2017_453_1_MG_BF_BO,DTU_2017_458_1_MG_GT_GU,DTU_2017_460_1_MG_KE_NA,DTU_2017_464_1_MG_GH_TA,DTU_2017_502_1_MG_BE_GE_198,DTU_2017_514_1_MG_TZ_MW_210,DTU_2017_515_1_MG_TZ_MO_211,DTU_2017_521_1_MG_KR_DA_217,DTU_2017_522_1_MG_CI_AB_218,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_536_1_MG_MY_IP_232,DTU_2017_546_1_MG_GB_FA_242,DTU_2017_576_1_MG_KR_GW_272,DTU_2017_583_1_MG_MW_MA_279,DTU_2017_595_1_MG_CM_YA_291,DTU_2017_605_1_MG_CA_VA_301,DTU_2017_606_1_MG_GH_KU_302,DTU_2017_610_1_MG_FI_HE_306,DTU_2017_611_1_MG_US_SE_307,DTU_2017_977_1_MG_CM1710_L22,DTU_2017_980_1_MG_CM1707_L25,DTU_2017_982_1_MG_CM1709_L27,DTU_2017_983_1_MG_US1709_L28,DTU_2017_984_1_MG_US1710_L29,DTU_2017_985_1_MG_US1712_L30,DTU_2018_1007_1_MG_US1802_L56,DTU_2018_1008_1_MG_US1803_L57,DTU_2018_1018_1_MG_US1808_L69,DTU_2018_1039_1_MG_CM1804_L96,DTU_2018_1042_1_MG_CM1803_L99,DTU_2018_1064_1_MG_TZ_MO_2,DTU_2018_669_1_MG_PT_LI_357,DTU_2018_721_1_MG_CA_VA_418,DTU_2018_734_1_MG_GB_EB_431,DTU_2018_750_1_MG_KE_NA_447,DTU_2018_751_1_MG_US_SE_448,DTU_2018_752_1_MG_US_SE_2_449,DTU_2018_844_1_MG_CI_BO_528,DTU_2018_845_1_MG_KR_DA_529,DTU_2018_858_1_MG_MU_SM_542,DTU_2018_865_1_MG_KR_GW_549,DTU_2018_872_1_MG_GB_EB_556,DTU_2018_901_2_MG_FI_HE_586_re_1,DTU_2018_904_1_MG_CA_VA_589,DTU_2018_905_1_MG_CA_OT_590,DTU_2018_912_1_MG_CM_YA_597,DTU_2018_936_1_MG_CO_BU_2_618,DTU_2018_937_1_MG_CO_BU_3_619,DTU_2018_942_1_MG_CO_BU_8_624,DTU_2018_979_1_MG_CM1801_L24
tet_M_13_AM990992.R	11	DTU_2016_176_1_MG_TGO-44,DTU_2017_501_1_MG_AU_MA_197,DTU_2017_511_1_MG_GT_GU_207,DTU_2017_535_1_MG_MY_KG_231,DTU_2017_606_1_MG_GH_KU_302,DTU_2017_989_1_MG_MY1711_L34,DTU_2018_747_1_MG_BJ_DJ_444,DTU_2018_810_1_MG_GT_GU_494,DTU_2018_907_1_MG_NP_KA_592,DTU_2018_928_1_MG_MY_SU_611,DTU_2018_937_1_MG_CO_BU_3_619
tet_M_1_X92947.R	2	DTU_2017_365_1_MG_TZ_MO,DTU_2017_464_1_MG_GH_TA
tet_M_7_FN433596.v1	1	DTU_2018_882_1_MG_GH_AC_2_569
