mph_G_1_AB571865.v2	185	DTU_2016_103_1_MG_ISL-28,DTU_2016_105_3_MG_ISL-28_2,DTU_2016_110_1_MG_KAZ-6,DTU_2016_112_2_MG_KEN-72_1,DTU_2016_123_2_MG_MDA-65_1,DTU_2016_148_1_MG_NPL-33,DTU_2016_156_1_MG_SGP-52,DTU_2016_176_1_MG_TGO-44,DTU_2016_177_1_MG_TUR-46,DTU_2016_178_2_MG_TUR-46_1,DTU_2016_179_3_MG_TUR-46_2,DTU_2016_181_1_MG_USA-74,DTU_2016_193_1_MG_USA-74c,DTU_2016_193_1_MG_USA-74c_2,DTU_2016_194_2_MG_USA-74c_1,DTU_2016_194_2_MG_USA-74c_3,DTU_2016_199_1_MG_USA-74e,DTU_2016_200_2_MG_USA-74e_1,DTU_2016_201_3_MG_USA-74e_2,DTU_2016_202_4_MG_USA-74e_3,DTU_2016_203_1_MG_USA-74f,DTU_2016_204_2_MG_USA-74f_1,DTU_2016_209_7_MG_USA-74f_6,DTU_2016_218_9_MG_USA-74g_8,DTU_2016_219_1_MG_USA-74h,DTU_2016_221_1_MG_VNM-48,DTU_2016_223_1_MG_ZAF-39,DTU_2016_31_4_MG_BWA-19_3,DTU_2016_37_3_MG_CAN-22a_2,DTU_2016_40_1_MG_CAN-22b,DTU_2016_41_2_MG_CAN-22b_1,DTU_2016_42_3_MG_CAN-22b_2,DTU_2016_44_5_MG_CAN-22b_4,DTU_2016_45_1_MG_CAN-22c,DTU_2016_4_1_MG_AUS-18,DTU_2016_58_1_MG_CZE-23,DTU_2016_59_2_MG_CZE-23_1,DTU_2016_5_2_MG_AUS-18_1,DTU_2016_60_3_MG_CZE-23_2,DTU_2016_69_1_MG_ECU-14,DTU_2016_72_1_MG_ESP-75,DTU_2016_79_1_MG_FIN-25,DTU_2016_88_1_MG_HRV-68,DTU_2016_8_5_MG_AUS-18_4,DTU_2016_90_3_MG_HRV-68_2,DTU_2016_92_5_MG_HRV-68_4,DTU_2017_1005_1_MG_US1712_L54,DTU_2017_308_1_MG_GR_AT,DTU_2017_318_1_MG_HK_HK,DTU_2017_322_1_MG_GL_SI,DTU_2017_327_1_MG_JP_JP,DTU_2017_358_1_MG_RS_BE,DTU_2017_362_1_MG_CZ_PR,DTU_2017_363_1_MG_CZ_BR,DTU_2017_370_1_MG_US_WA,DTU_2017_371_1_MG_US_AU,DTU_2017_376_1_MG_SE_GO,DTU_2017_380_1_MG_MU_PL,DTU_2017_381_1_MG_IL_BE,DTU_2017_392_1_MG_IN_CO,DTU_2017_398_1_MG_US_SE,DTU_2017_399_1_MG_US_WO,DTU_2017_400_1_MG_EC_QU,DTU_2017_402_1_MG_EC_GY,DTU_2017_421_1_MG_NI_MT,DTU_2017_435_1_MG_KR_GW,DTU_2017_436_1_MG_GR_TH,DTU_2017_440_1_MG_CA_RE,DTU_2017_442_1_MG_CA_CA,DTU_2017_443_1_MG_CA_OT,DTU_2017_446_1_MG_CA_TO,DTU_2017_454_1_MG_SG_JU,DTU_2017_461_1_MG_KZ_AL,DTU_2017_462_1_MG_US_CH,DTU_2017_490_1_MG_IT_VE_186,DTU_2017_492_1_MG_SE_GO_188,DTU_2017_497_1_MG_GR_AT_193,DTU_2017_509_1_MG_CZ_PR_205,DTU_2017_510_1_MG_CZ_BR_206,DTU_2017_512_1_MG_ZA_PR_208,DTU_2017_521_1_MG_KR_DA_217,DTU_2017_528_1_MG_SK_BR_224,DTU_2017_530_1_MG_HK_HK_226,DTU_2017_532_1_MG_IS_RE_228,DTU_2017_542_1_MG_GL_SI_238,DTU_2017_547_1_MG_JP_JP_243,DTU_2017_558_1_MG_AU_ME_254,DTU_2017_561_1_MG_MU_PL_257,DTU_2017_576_1_MG_KR_GW_272,DTU_2017_584_1_MG_MW_MC_280,DTU_2017_593_1_MG_US_CH_289,DTU_2017_597_1_MG_UY_MV_293,DTU_2017_601_1_MG_IL_BE_297,DTU_2017_602_1_MG_CA_OT_298,DTU_2017_604_1_MG_CA_CA_300,DTU_2017_605_1_MG_CA_VA_301,DTU_2017_606_1_MG_GH_KU_302,DTU_2017_610_1_MG_FI_HE_306,DTU_2017_611_1_MG_US_SE_307,DTU_2017_614_1_MG_US_HO_310,DTU_2017_615_1_MG_US_AU_311,DTU_2017_622_1_MG_AR_BA_318,DTU_2017_963_1_MG_GR1707_L5,DTU_2017_965_1_MG_MY1707_L8,DTU_2017_983_1_MG_US1709_L28,DTU_2017_984_1_MG_US1710_L29,DTU_2017_985_1_MG_US1712_L30,DTU_2017_986_1_MG_MY1712_L31,DTU_2017_989_1_MG_MY1711_L34,DTU_2018_1003_1_MG_CN1802_L48,DTU_2018_1006_1_MG_US1801_L55,DTU_2018_1007_1_MG_US1802_L56,DTU_2018_1008_1_MG_US1803_L57,DTU_2018_1014_1_MG_MY1805_L63,DTU_2018_1017_1_MG_US1807_L68,DTU_2018_1018_1_MG_US1808_L69,DTU_2018_1023_1_MG_CA1803_L74,DTU_2018_1025_1_MG_CA1805_L76,DTU_2018_1028_1_MG_CA1809_L79,DTU_2018_1029_1_MG_EC1803_L80,DTU_2018_1030_1_MG_EC1804_L81,DTU_2018_1031_1_MG_EC1805_L82,DTU_2018_1033_1_MG_EC1808_L84,DTU_2018_1035_1_MG_CN1805_L86,DTU_2018_1037_1_MG_CN1809_L88,DTU_2018_650_1_MG_SE_GO_338,DTU_2018_659_1_MG_CZ_BR_347,DTU_2018_661_1_MG_MY_KL_349,DTU_2018_666_1_MG_AT_VI_354,DTU_2018_680_1_MG_KR_DA_368,DTU_2018_683_1_MG_JP_JP_371,DTU_2018_686_1_MG_CA_QE_374,DTU_2018_693_1_MG_KR_GW_382,DTU_2018_694_1_MG_MU_SM_383,DTU_2018_695_1_MG_MU_GB_384,DTU_2018_698_1_MG_IN_KO_387,DTU_2018_699_1_MG_SK_BR_388,DTU_2018_707_1_MG_CA_CA_395,DTU_2018_716_1_MG_EC_QU_413,DTU_2018_720_1_MG_CA_OT_417,DTU_2018_721_1_MG_CA_VA_418,DTU_2018_722_1_MG_AR_BA_419,DTU_2018_743_1_MG_GL_SI_440,DTU_2018_744_1_MG_IL_BE_441,DTU_2018_751_1_MG_US_SE_448,DTU_2018_752_1_MG_US_SE_2_449,DTU_2018_755_1_MG_MK_SK_452,DTU_2018_764_1_MG_US_CH_461,DTU_2018_767_1_MG_SG_JU_464,DTU_2018_778_1_MG_US_AT_475,DTU_2018_779_1_MG_US_WA_476,DTU_2018_783_1_MG_CN_GU_480,DTU_2018_800_1_MG_ZA_PR_484,DTU_2018_803_1_MG_LV_RI_487,DTU_2018_805_1_MG_IL_BE_489,DTU_2018_819_1_MG_CZ_PR_503,DTU_2018_820_1_MG_CZ_BR_504,DTU_2018_821_1_MG_IS_RE_505,DTU_2018_822_1_MG_US_CO_506,DTU_2018_825_1_MG_GR_AT_509,DTU_2018_832_1_MG_JP_HI_SB_516,DTU_2018_836_1_MG_TR_HA_520,DTU_2018_852_1_MG_US_AT_536,DTU_2018_858_1_MG_MU_SM_542,DTU_2018_859_1_MG_MU_GB_543,DTU_2018_863_1_MG_IT_CA_547,DTU_2018_865_1_MG_KR_GW_549,DTU_2018_873_1_MG_US_CH_557,DTU_2018_879_1_MG_JP_JP_564,DTU_2018_900_1_MG_FI_HE_586,DTU_2018_901_2_MG_FI_HE_586_re_1,DTU_2018_902_1_MG_CA_CA_587,DTU_2018_904_1_MG_CA_VA_589,DTU_2018_905_1_MG_CA_OT_590,DTU_2018_906_1_MG_MZ_MA_591,DTU_2018_907_1_MG_NP_KA_592,DTU_2018_909_1_MG_AR_BA_594,DTU_2018_913_1_MG_RS_BE_598,DTU_2018_916_1_MG_DK_AV_601,DTU_2018_920_1_MG_GL_SI_604,DTU_2018_945_1_MG_US_CH_2_627,DTU_2018_987_1_MG_MY1801_L32,DTU_2018_988_1_MG_MY1802_L33,DTU_2018_995_1_MG_EC1801_L40,DTU_2018_996_1_MG_EC1802_L41
mph_G_1_AB571865.R	102	DTU_2016_100_1_MG_IRN-12,DTU_2016_102_3_MG_IRN-12_2,DTU_2016_117_1_MG_LUX-32,DTU_2016_129_1_MG_MLT-63,DTU_2016_130_2_MG_MLT-63_1,DTU_2016_131_3_MG_MLT-63_2,DTU_2016_150_1_MG_PAK-7,DTU_2016_151_1_MG_PER-35,DTU_2016_220_1_MG_USA-74i,DTU_2016_22_1_MG_BRA-53,DTU_2016_235_7_MG_ZMB-49b_6,DTU_2016_236_1_MG_Reproduce_12_1,DTU_2016_237_2_MG_Reproduce_12_3,DTU_2016_247_2_MG_Reproduce_53a_3,DTU_2016_24_3_MG_BRA-53_2,DTU_2016_25_1_MG_BRA-53a,DTU_2016_26_2_MG_BRA-53a_1,DTU_2016_27_3_MG_BRA-53a_2,DTU_2016_54_1_MG_CIV-13,DTU_2016_70_1_MG_ECU-14a,DTU_2016_74_3_MG_ESP-75_2,DTU_2016_75_4_MG_ESP-75_3,DTU_2016_96_3_MG_IND-11_2,DTU_2017_317_1_MG_CM_YA,DTU_2017_320_1_MG_BR_BE,DTU_2017_331_1_MG_UY_MV,DTU_2017_345_1_MG_FR_NA,DTU_2017_365_1_MG_TZ_MO,DTU_2017_366_1_MG_PY_SL,DTU_2017_367_1_MG_PY_AS,DTU_2017_369_1_MG_BB_WO,DTU_2017_385_1_MG_MT_MS,DTU_2017_386_1_MG_MT_MN,DTU_2017_387_1_MG_MT_GO,DTU_2017_389_1_MG_SA_KA,DTU_2017_390_1_MG_LC_CA,DTU_2017_391_1_MG_LC_GR,DTU_2017_401_1_MG_PE_PI,DTU_2017_410_1_MG_PL_PL,DTU_2017_412_2_MG_NG_IL_b,DTU_2017_418_1_MG_NG_IB_a,DTU_2017_423_1_MG_NI_MS,DTU_2017_447_1_MG_UG_KA,DTU_2017_455_1_MG_PY_CO,DTU_2017_458_1_MG_GT_GU,DTU_2017_494_1_MG_PT_LI_190,DTU_2017_496_1_MG_HR_ZA_192,DTU_2017_506_1_MG_FR_NA_202,DTU_2017_514_1_MG_TZ_MW_210,DTU_2017_515_1_MG_TZ_MO_211,DTU_2017_519_1_MG_BJ_SB_215,DTU_2017_522_1_MG_CI_AB_218,DTU_2017_525_1_MG_SA_KA_221,DTU_2017_527_1_MG_ES_BA_223,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_543_1_MG_TW_TA_239,DTU_2017_550_1_MG_BB_BR_246,DTU_2017_552_1_MG_PY_SL_248,DTU_2017_573_1_MG_IR_SH_269,DTU_2017_575_1_MG_PT_PO_271,DTU_2017_583_1_MG_MW_MA_279,DTU_2017_600_1_MG_MA_CA_296,DTU_2017_612_1_MG_AE_AD_308,DTU_2017_624_1_MG_LC_GR_320,DTU_2017_627_1_MG_EC_QU_323,DTU_2018_1067_1_MG_TZ_MO_5,DTU_2018_1068_1_MG_TZ_MO_6,DTU_2018_1070_1_MG_TZ_MO_8,DTU_2018_1071_1_MG_TZ_MO_9,DTU_2018_1072_1_MG_TZ_MO_10,DTU_2018_654_1_MG_ES_BA_342,DTU_2018_663_1_MG_FR_NA_351,DTU_2018_664_1_MG_FR_SA_352,DTU_2018_665_1_MG_SA_KA_353,DTU_2018_681_1_MG_TZ_MO_369,DTU_2018_682_1_MG_TZ_MW_370,DTU_2018_697_1_MG_PT_PO_386,DTU_2018_710_1_MG_MA_CA_398,DTU_2018_711_1_MG_BR_BH_408,DTU_2018_712_1_MG_BB_WO_409,DTU_2018_723_1_MG_UG_KA_420,DTU_2018_732_1_MG_LV_RI_429,DTU_2018_753_1_MG_LC_CA_450,DTU_2018_776_1_MG_BR_RJ_473,DTU_2018_777_1_MG_BR_BE_474,DTU_2018_780_1_MG_AE_DU_477,DTU_2018_795_1_MG_GH_AC_561,DTU_2018_807_1_MG_FR_SA_491,DTU_2018_827_1_MG_SA_KA_511,DTU_2018_835_1_MG_MT_MT_519,DTU_2018_837_1_MG_BR_RJ_521,DTU_2018_839_1_MG_TZ_MO_523,DTU_2018_856_1_MG_UG_KA_540,DTU_2018_870_1_MG_BO_LP_554,DTU_2018_884_1_MG_CL_SA_571,DTU_2018_885_1_MG_CL_SA_2_572,DTU_2018_888_1_MG_BB_WO_575,DTU_2018_889_1_MG_BB_BR_576,DTU_2018_891_1_MG_SN_DA_578,DTU_2018_930_1_MG_AE_DU_613,DTU_2018_979_1_MG_CM1801_L24,DTU_2019_1041_1_MG_CM1802_L98
mph_G_1_AB571865.v3	8	DTU_2016_238_1_MG_Reproduce_15_1,DTU_2017_424_1_MG_TZ_MS,DTU_2017_431_1_MG_HR_ZA,DTU_2017_508_1_MG_ME_PO_204,DTU_2017_535_1_MG_MY_KG_231,DTU_2018_669_1_MG_PT_LI_357,DTU_2018_810_1_MG_GT_GU_494,DTU_2018_851_1_MG_IN_KO_535
mph_G_1_AB571865.v1	5	DTU_2016_101_2_MG_IRN-12_1,DTU_2017_315_1_MG_MY_KL,DTU_2017_397_1_MG_TW_TA,DTU_2017_580_1_MG_BW_GA_276,DTU_2017_994_1_MG_EC1712_L39
