erm_X_2_X51472.v1	23	DTU_2016_96_3_MG_IND-11_2,DTU_2017_326_1_MG_MY_PB,DTU_2017_365_1_MG_TZ_MO,DTU_2017_421_1_MG_NI_MT,DTU_2017_498_1_MG_NI_LE_194,DTU_2017_511_1_MG_GT_GU_207,DTU_2017_515_1_MG_TZ_MO_211,DTU_2017_535_1_MG_MY_KG_231,DTU_2017_544_1_MG_IN_CO_240,DTU_2017_591_1_MG_NP_KA_287,DTU_2017_595_1_MG_CM_YA_291,DTU_2018_1033_1_MG_EC1808_L84,DTU_2018_1064_1_MG_TZ_MO_2,DTU_2018_1066_1_MG_TZ_MO_4,DTU_2018_682_1_MG_TZ_MW_370,DTU_2018_687_1_MG_PK_FA_375,DTU_2018_727_1_MG_MY_SU_424,DTU_2018_729_1_MG_MY_IH_426,DTU_2018_851_1_MG_IN_KO_535,DTU_2018_869_1_MG_PK_FA_553,DTU_2018_926_1_MG_MY_PB_609,DTU_2018_936_1_MG_CO_BU_2_618,DTU_2018_937_1_MG_CO_BU_3_619
erm_X_3_U21300.v1	8	DTU_2017_364_1_MG_TZ_MW,DTU_2017_514_1_MG_TZ_MW_210,DTU_2017_531_1_MG_UG_KA_227,DTU_2017_592_1_MG_NP_BH_288,DTU_2017_966_1_MG_MY1708_L9,DTU_2018_785_1_MG_TZ_MS_482,DTU_2018_838_1_MG_IN_UD_522,DTU_2018_907_1_MG_NP_KA_592
erm_X_2_X51472.R	1	DTU_2018_911_1_MG_SG_JU_596
erm_X_3_U21300.R	0	*
