blaZ_19_JBMK01000007	blaZ_19_JBMK01000007
blaSHV-158_1_JX121125	blaSHV_158_1_JX121125
blaOXA-450_1_KR061502	blaOXA_450_1_KR061502
mcr-7.1_1_MG267386	mcr_7_1_1_MG267386
blaIMP-59_1_KX196782	blaIMP_59_1_KX196782
aac(6')-Ip_1_Z54241	aac_6_Ip_1_Z54241
blaOXA-510_1_JX865393	blaOXA_510_1_JX865393
erm(C)_16_AF019140	erm_C_16_AF019140
blaTEM-115_1_AF535127	blaTEM_115_1_AF535127
aac(6')-Ir_1_AF031326	aac_6_Ir_1_AF031326
lnu(C)_1_AY928180	lnu_C_1_AY928180
blaSHV-107_1_AM922308	blaSHV_107_1_AM922308
blaKHM-1_1_AB364006	blaKHM_1_1_AB364006
blaCMY-41_1_AB429270	blaCMY_41_1_AB429270
dfrA17_11_JN645876	dfrA17_11_JN645876
blaOXY-2-4_4_Y17714	blaOXY_2_4_4_Y17714
cfiA4_1_AB087229	cfiA4_1_AB087229
blaCMY-44_1_FJ437066	blaCMY_44_1_FJ437066
aac(6')-Iu_1_AF031329	aac_6_Iu_1_AF031329
sul1_14_AJ517791	sul1_14_AJ517791
blaVIM-1_1_Y18050	blaVIM_1_1_Y18050
blaKPC-26_1_KX619622	blaKPC_26_1_KX619622
blaCTX-M-189_1_FJ657512	blaCTX_M_189_1_FJ657512
tet(O/W/32/O/W/O)_1_DQ525023	tet_O_W_32_O_W_O_1_DQ525023
blaOXA-282_1_APQS01000019	blaOXA_282_1_APQS01000019
aph(3'')-Ib_4_AF313472	aph_3_Ib_4_AF313472
tet(44)_2_FN594949	tet_44_2_FN594949
mecC2_1_KF955540	mecC2_1_KF955540
blaOXA-160_1_GU199038	blaOXA_160_1_GU199038
blaIND-1_1_AF099139	blaIND_1_1_AF099139
qnrD3_1_KX130945	qnrD3_1_KX130945
blaVIM-49_1_KU663374	blaVIM_49_1_KU663374
blaOXA-224_1_JN412067	blaOXA_224_1_JN412067
blaKPC-13_1_HQ342889	blaKPC_13_1_HQ342889
blaHERA-6_1_AJ536090	blaHERA_6_1_AJ536090
aph(3')-VIa_1_X07753	aph_3_VIa_1_X07753
blaSHV-185_1_KM233164	blaSHV_185_1_KM233164
vanXmurFvanKWI_2_AP008230	vanXmurFvanKWI_2_AP008230
aadA24_1_AM711129	aadA24_1_AM711129
qnrB39_1_ABWL02000005	qnrB39_1_ABWL02000005
aac(6')-Im_1_AF337947	aac_6_Im_1_AF337947
blaZ_113_AHVS01000008	blaZ_113_AHVS01000008
blaOXA-260_1_APOR01000009	blaOXA_260_1_APOR01000009
blaVIM-11_1_AY605049	blaVIM_11_1_AY605049
